date_time v002 v003 v012 v017 v022 v051 v052 v053 v083 v084 v085 v086 v087 v088 v089 v090 v091 
196992416252020 13.1 13 0 0 0 124.8 125 124.7 125.2 125 124.2 125 79.7 80 80.5 80 65.2 
196992416252030 13.1 13 0 0 0 124.8 125 125 124.8 125 124.6 125 79.7 80 80.5 80 65.2 
196992416252040 13.1 13 25 80 300 124.8 125 124.5 124.8 125 124.6 125 79.7 80 80.5 80 65.1 
196992416252050 13.1 13 25 76 342 124.8 125 124.7 125.2 125 125 125 79.7 80 80.5 80 65.1 
196992416252060 13.1 13 25 38 469 124.8 125 124.7 125.2 125 125 125 79.7 80 80.4 80 65.1 
196992416252070 13.1 13 26 35 455 124.8 125 125 124.8 125 124.2 125 79.7 80 80.4 80 65.1 
196992416252080 13.1 13 23 34 0 124.4 125 124.7 124.8 125 124.6 125 79.7 80 80.4 80 65.1 
196992416252090 13.1 13 25 11 509 124.8 125 124.7 125.2 125 124.2 125 79.7 80 80.4 80 65.1 
196992416252100 13.1 13 25 0 537 124.4 125 124.7 124.4 125 125 125 79.7 80 80.4 80 65.1 
196992416252110 13.1 13 25 0 535 124.4 125 124.7 124.4 125 124.6 125 79.7 80 80.4 80 65.1 
196992416252120 13.1 13 25 0 538 124.4 125 124.7 124.4 125 124.6 125 79.7 80 80.4 80 65.1 
196992416252130 13.1 13 25 0 538 124.8 125 124.7 124.8 125 124.2 125 79.7 80 80.4 80 65.1 
196992416252140 13.1 13 25 0 538 124.8 125 125 124.8 125 124.6 125 79.7 80 80.4 80 64.8 
196992416252150 13.1 13 25 0 538 124.8 125 124.7 125.2 125 124.6 125 79.7 80 80.4 80 64.8 
196992416252160 13.1 13 25 0 537 125.2 125 125 124.4 125 124.6 125 79.7 80 80.4 80 64.8 
