date_time v002 v003 v012 v017 v022 v051 v052 v053 v083 v084 v085 v086 v087 v088 v089 v090 v091 
196992416255170 100 100 0 0 0 124.8 125 124.5 125.2 125 124.6 125 80.3 80 80.9 80 64.3 
196992416255180 100 100 0 0 0 124.8 125 124.5 124.4 125 124.6 125 80.3 80 80.9 80 64.3 
196992416255190 100 100 25 68 134 124.4 125 124.7 124.8 125 124.6 125 80.3 80 80.9 80 64.3 
196992416255200 100 100 25 48 186 124.8 125 124.5 124.4 125 124.6 125 80.3 80 80.9 80 64.3 
196992416255210 100 100 25 32 219 124.4 125 124.5 124.8 125 124.6 125 80.3 80 80.9 80 64.3 
196992416255220 100.3 100 25 19 232 124.4 125 124.7 124.4 125 124.6 125 80.3 80 80.9 80 64.3 
196992416255230 100.3 100 25 5 266 124.4 125 124.5 124.8 125 124.2 125 80.3 80 80.9 80 64.3 
196992416255240 100.3 100 25 0 275 124.4 125 124.7 124.8 125 124.6 125 80.3 80 80.9 80 64.2 
196992416255250 100.3 100 25 0 275 124.4 125 125 124.8 125 124.6 125 80.3 80 80.9 80 64.2 
196992416255260 100.3 100 25 0 276 124.8 125 125 124.8 125 124.6 125 80.3 80 80.9 80 64.2 
196992416255270 99.9 100 25 0 276 125.2 125 124.7 124.8 125 124.2 125 80.3 80 80.9 80 64.2 
196992416255280 99.9 100 25 0 277 124.8 125 125 124.4 125 124.6 125 80.4 80 81.1 80 64.2 
196992416255290 99.9 100 25 0 277 124.8 125 124.5 124.8 125 124.6 125 80.4 80 81.1 80 64.2 
196992416255300 99.9 100 25 0 277 125.2 125 124.5 124.8 125 124.6 125 80.4 80 81.1 80 64.2 
196992416255310 99.9 100 25 0 278 125.2 125 124.5 124.8 125 124.2 125 80.4 80 81.1 80 64.2 
